id;latitude;longitude;track_id;time
91;-10,93943942;-37,06242838;2;13.09.2014 13:37
92;-10,93944232;-37,06256992;2;13.09.2014 13:37
93;-10,93944232;-37,06256992;2;13.09.2014 13:38
94;-10,93944232;-37,06256992;2;13.09.2014 13:38
95;-10,93899402;-37,06280406;2;13.09.2014 13:38
96;-10,93860314;-37,06296434;2;13.09.2014 13:38
97;-10,93835807;-37,06278978;2;13.09.2014 13:38
98;-10,93829299;-37,06237239;2;13.09.2014 13:38
99;-10,93854427;-37,06176238;2;13.09.2014 13:38
100;-10,93889765;-37,06105771;2;13.09.2014 13:38
101;-10,9392863;-37,06034013;2;13.09.2014 13:38
102;-10,93958482;-37,0597757;2;13.09.2014 13:38
103;-10,93981259;-37,05935465;2;13.09.2014 13:39
104;-10,94003912;-37,0589944;2;13.09.2014 13:39
105;-10,94029375;-37,05890855;2;13.09.2014 13:39
106;-10,94044568;-37,05899324;2;13.09.2014 13:39
107;-10,94071019;-37,05920933;2;13.09.2014 13:39
108;-10,94091498;-37,05938079;2;13.09.2014 13:39
109;-10,94092187;-37,05938262;2;13.09.2014 13:39
110;-10,94111489;-37,05955812;2;13.09.2014 13:39
111;-10,94143233;-37,05984643;2;13.09.2014 13:39
112;-10,94189287;-37,06029526;2;13.09.2014 13:39
113;-10,94234691;-37,06074624;2;13.09.2014 13:39
114;-10,9425804;-37,06096802;2;13.09.2014 13:40
115;-10,94263953;-37,06101946;2;13.09.2014 13:40
116;-10,94263953;-37,06101946;2;13.09.2014 13:40
117;-10,94263953;-37,06101946;2;13.09.2014 13:40
118;-10,94266097;-37,0610417;2;13.09.2014 13:40
119;-10,94286097;-37,0612328;2;13.09.2014 13:40
120;-10,94315305;-37,06155233;2;13.09.2014 13:40
121;-10,94350765;-37,06192153;2;13.09.2014 13:40
122;-10,94410138;-37,0621534;2;13.09.2014 13:40
123;-10,94468481;-37,06230469;2;13.09.2014 13:40
124;-10,94527759;-37,06251654;2;13.09.2014 13:40
125;-10,94594673;-37,06281271;2;13.09.2014 13:41
126;-10,94671859;-37,06308869;2;13.09.2014 13:41
127;-10,94730157;-37,06335312;2;13.09.2014 13:41
128;-10,94778644;-37,06381369;2;13.09.2014 13:41
129;-10,94844587;-37,06445785;2;13.09.2014 13:41
130;-10,94904832;-37,06500803;2;13.09.2014 13:41
131;-10,94979403;-37,06571115;2;13.09.2014 13:41
132;-10,9504376;-37,06632879;2;13.09.2014 13:41
133;-10,95101859;-37,06687168;2;13.09.2014 13:41
134;-10,95164801;-37,06724984;2;13.09.2014 13:41
135;-10,95194617;-37,06738994;2;13.09.2014 13:41
136;-10,95245685;-37,06766077;2;13.09.2014 13:42
137;-10,95311692;-37,06801289;2;13.09.2014 13:42
138;-10,95373597;-37,06834647;2;13.09.2014 13:42
139;-10,95425643;-37,06861906;2;13.09.2014 13:42
140;-10,95456037;-37,06876904;2;13.09.2014 13:42
141;-10,9551056;-37,06906634;2;13.09.2014 13:42
142;-10,95571837;-37,06937444;2;13.09.2014 13:42
143;-10,95645998;-37,06951516;2;13.09.2014 13:42
144;-10,95722549;-37,06945968;2;13.09.2014 13:42
145;-10,9582645;-37,06937347;2;13.09.2014 13:42
