id;latitude;longitude;track_id;time
91;-10.9394394198589;-37.0624283811754;2;13.09.2014 13:37
92;-10.9394423216378;-37.062569922389;2;13.09.2014 13:37
93;-10.9394423216378;-37.062569922389;2;13.09.2014 13:38
94;-10.9394423216378;-37.062569922389;2;13.09.2014 13:38
95;-10.9389940189541;-37.0628040561796;2;13.09.2014 13:38
96;-10.9386031368379;-37.0629643381166;2;13.09.2014 13:38
97;-10.9383580704773;-37.0627897829822;2;13.09.2014 13:38
98;-10.9382929933406;-37.0623723921363;2;13.09.2014 13:38
99;-10.9385442666704;-37.0617623761861;2;13.09.2014 13:38
100;-10.9388976451446;-37.0610577138091;2;13.09.2014 13:38
101;-10.939286303702;-37.0603401348362;2;13.09.2014 13:38
102;-10.9395848167205;-37.0597757046112;2;13.09.2014 13:38
103;-10.9398125858738;-37.0593546545551;2;13.09.2014 13:39
104;-10.9400391217797;-37.0589944008603;2;13.09.2014 13:39
105;-10.9402937450586;-37.0589085526268;2;13.09.2014 13:39
106;-10.9404456811417;-37.0589932426757;2;13.09.2014 13:39
107;-10.9407101935088;-37.0592093307299;2;13.09.2014 13:39
108;-10.9409149805608;-37.0593807860186;2;13.09.2014 13:39
109;-10.9409218740574;-37.0593826224655;2;13.09.2014 13:39
110;-10.9411148943361;-37.0595581219005;2;13.09.2014 13:39
111;-10.941432326776;-37.0598464342116;2;13.09.2014 13:39
112;-10.9418928712691;-37.060295261613;2;13.09.2014 13:39
113;-10.9423469125856;-37.0607462389275;2;13.09.2014 13:39
114;-10.9425803954512;-37.0609680232943;2;13.09.2014 13:40
115;-10.9426395313217;-37.061019455344;2;13.09.2014 13:40
116;-10.9426395313217;-37.061019455344;2;13.09.2014 13:40
117;-10.9426395313217;-37.061019455344;2;13.09.2014 13:40
118;-10.9426609697117;-37.0610417000768;2;13.09.2014 13:40
119;-10.942860966487;-37.0612328030135;2;13.09.2014 13:40
120;-10.943153046112;-37.0615523335932;2;13.09.2014 13:40
121;-10.9435076521971;-37.0619215277294;2;13.09.2014 13:40
122;-10.944101382613;-37.0621534000362;2;13.09.2014 13:40
123;-10.9446848104324;-37.0623046854073;2;13.09.2014 13:40
124;-10.9452775946114;-37.0625165384282;2;13.09.2014 13:40
125;-10.9459467284756;-37.0628127118287;2;13.09.2014 13:41
